10,"2020-01-19,19:31"
301,"2020-01-19,19:31"
302,"2020-01-19,19:31"
303,"2020-01-19,19:31"
304,"2020-01-19,19:31"
305,"2020-01-19,19:31"
100,"2020-01-19,19:32"
101,"2020-01-19,19:32"
900,"2020-01-19,19:32"
301,"2020-02-03,17:55"
302,"2020-02-03,17:55"
303,"2020-02-03,17:55"
304,"2020-02-03,17:55"
301,"2020-02-03,20:18"
304,"2020-02-03,20:18"
301,"2020-02-10,19:36"
302,"2020-02-10,19:36"
303,"2020-02-10,19:36"
304,"2020-02-10,19:36"
10,"2020-03-09,20:42"
301,"2020-03-09,20:42"
302,"2020-03-09,20:42"
303,"2020-03-09,20:42"
304,"2020-03-09,20:42"
200,"2020-06-01,20:17"
100,"2020-06-01,20:17"
101,"2020-06-01,20:18"
302,"2020-06-01,20:18"
303,"2020-06-01,20:18"
303,"2020-06-01,20:18"
304,"2020-06-01,20:18"
366,"2020-06-01,20:18"
90,"2020-06-01,20:18"
1302,"2020-06-01,20:18"
2303,"2020-06-01,20:18"
3304,"2020-06-01,20:18"
4305,"2020-06-01,20:18"
90,"2020-06-08,18:55"
366,"2020-06-08,18:55"
305,"2020-06-01,08:55"
305,"2020-06-02,09:55"
305,"2020-06-03,08:55"
305,"2020-06-04,07:20"
305,"2020-06-05,11:02"
305,"2020-06-06,09:03"
305,"2020-06-07,08:03"
305,"2020-06-08,09:15"
305,"2020-06-09,10:55"
